综合娱乐,#genre#
DreamWorks 夢工廠動畫,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=282
MOMO親子台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=231
靖天卡通台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=15
靖洋卡通Nice Bingo,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=59
經典卡通台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=202
Nick Jr. 兒童頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=219

音乐频道,#genre#

電影原聲台CMusic,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=218
TRACE Urban,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=78
MTV Live HD 音樂頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=213
Mezzo Live HD,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=79
CLASSICA 古典樂,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=80
